million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
limit,"n. 限制；限度；界线
vt. 限制；限定"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
dam,"n.  水坝；障碍
v. 控制；筑坝"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
jury,"n.  陪审团；评判委员会
adj. 应急的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
zone,  地带、地区（德语）
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
guilt,n. 犯罪，过失；内疚
member,n. 成员；会员；议员
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
casino,n. 俱乐部，赌场；娱乐场
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
poetry,n. 诗；诗意，诗情；诗歌艺术
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
income,n. 收入，收益；所得
safety,n. 安全；保险；安全设备；保险装置；安打
aspect,n. 方面；方向；形势；外貌
lawyer,n. 律师；法学家
concept,n. 观念，概念
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
privacy,n. 隐私；秘密；隐居；隐居处
emotion,n. 情感；情绪
species,"n.  物种；种类
adj. 物种上的"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
pursuit,n. 追赶，追求；职业，工作
shipper,n. 托运人；发货人；货主
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
solution,n. 解决方案；溶液；溶解；解答
database,n. 数据库，资料库
majority,n. 多数；成年
employee,n. 雇员；从业员工
shortage,n. 缺乏，缺少；不足
employer,n. 雇主，老板
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
substance,n. 物质；实质；资产；主旨
recession,n. 衰退；不景气；后退；凹处
workforce,n. 劳动力；工人总数，职工总数
tradition,n. 惯例，传统；传说
physician,n.  医师；内科医师
historian,n. 历史学家
selection,n. 选择，挑选；选集；精选品
workplace,n. 工作场所；车间
colleague,n. 同事，同僚
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
investment,n. 投资；投入；封锁
retirement,n. 退休，退役
efficiency,n. 效率；效能；功效
importance,n. 价值；重要；重大；傲慢
journalist,n. 新闻工作者；报人；记日志者
phenomenon,n. 现象；奇迹；杰出的人才
achievement,n. 成就；完成；达到；成绩
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
psychologist,n. 心理学家，心理学者
responsibility,n. 责任，职责；义务
infrastructure,n. 基础设施；公共建设；下部构造
organisation,n. 组织；团体（等于organization）
organization,n. 组织；机构；体制；团体
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
infer,"vi. 推断；作出推论
vt. 推断；推论"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
exist,vi. 存在；生存；生活；继续存在
alter,"vt. 改变，更改
vi. 改变；修改"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
ensure,vt. 保证，确保；使安全
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
ignore,vt. 驳回诉讼；忽视；不理睬
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
enhance,vt. 提高；加强；增加
emphasize,vt. 强调，着重
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
disappoint,vt. 使失望
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
digital,"n. 数字；键
adj. 数字的；手指的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
genetic,adj. 遗传的；基因的；起源的
obvious,adj. 明显的；显著的；平淡无奇的
various,adj. 各种各样的；多方面的
suitable,adj. 适当的；相配的
emotional,adj. 情绪的；易激动的；感动人的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
optimistic,adj. 乐观的；乐观主义的
educational,adj. 教育的；有教育意义的
hardly,adv. 几乎不，简直不；刚刚
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
moreover,adv. 而且；此外
therefore,adv. 因此；所以
increasingly,adv. 越来越多地；渐增地
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
loss,n. 减少；亏损；失败；遗失
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
death,n. 死；死亡；死神；毁灭
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
event,n. 事件，大事；项目；结果
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
memory,n. 记忆，记忆力；内存， 存储器；回忆
theory,n. 理论；原理；学说；推测
agency,n. 代理，中介；代理处，经销处
source,n. 来源；水源；原始资料
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
moment,n. 片刻，瞬间，时刻；重要，契机
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
threat,n. 威胁，恐吓；凶兆
degree,n. 程度，等级；度；学位；阶层
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
critic,n. 批评家，评论家；爱挑剔的人
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
journal,n. 日报，杂志；日记；分类账
climate,n. 气候；风气；思潮；风土
freedom,n. 自由，自主；直率
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
failure,n. 失败；故障；失败者；破产
reality,n. 现实；实际；真实
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
revenue,n. 税收，国家的收入；收益
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
version,n. 版本；译文；倒转术
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
strategy,n. 战略，策略
capacity,n. 能力；容量；资格，地位；生产力
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
response,n. 响应；反应；回答
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
movement,n. 运动；活动；运转；乐章
priority,n. 优先；优先权； 优先次序；优先考虑的事
argument,n. 论证；论据；争吵；内容提要
identity,n. 身份；同一性，一致；特性；恒等式
insurance,n. 保险；保险费；保险契约；赔偿金
professor,n. 教授；教师；公开表示信仰的人
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
president,n. 总统；董事长；校长；主席
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
knowledge,n. 知识，学问；知道，认识；学科
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
formation,n. 形成；构造；编队
statement,n. 声明；陈述，叙述；报表，清单
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
admission,n. 承认；入场费；进入许可；坦白；录用
evolution,n. 演变；进化论；进展
production,n. 成果；产品；生产；作品
employment,n. 使用；职业；雇用
management,n. 管理；管理人员；管理部门；操纵；经营手段
department,n. 部；部门；系；科；局
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
consequence,n. 结果；重要性；推论
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
association,n. 协会，联盟，社团；联合；联想
requirement,n. 要求；必要条件；必需品
publication,n. 出版；出版物；发表
productivity,n. 生产力；生产率；生产能力
relationship,n. 关系；关联
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
rely,vi. 依靠；信赖
prove,"vi. 证明是
vt. 证明；检验；显示"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
imply,vt. 意味；暗示；隐含
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
define,vt. 定义；使明确；规定
intend,"vi. 有打算
vt. 打算；想要；意指"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
emerge,vi. 浮现；摆脱；暴露
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
confuse,vt. 使混乱；使困惑
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
discover,"vi. 发现
vt. 发现；发觉"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
maintain,vt. 维持；继续；维修；主张；供养
generate,vt. 使形成；发生；生殖；产生物理反应
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
establish,"vi. 植物定植
vt. 建立；创办；安置"
encourage,vt. 鼓励，怂恿；激励；支持
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
correspond,vi. 符合，一致；相应；通信
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
legal,adj. 法律的；合法的；法定的；依照法律的
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
creative,adj. 创造性的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
available,adj. 可获得的；可购得的；可找到的；有空的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
immediate,adj. 立即的；直接的；最接近的
electronic,"adj. 电子的
n. 电子电路；电子器件"
historical,adj. 历史的；史学的；基于史实的
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
responsible,adj. 负责的，可靠的；有责任的
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
elite,n. 精英；精华；中坚分子
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
inevitable,adj. 必然的，不可避免的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
extracurricular,adj. 课外的；业余的；婚外的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
