data,n. 数据（datum的复数）；资料
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
pupil,n. 学生； 瞳孔；未成年人
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
action,n. 行动；活动；功能；战斗；情节
artist,n. 艺术家；美术家（尤指画家）；大师
source,n. 来源；水源；原始资料
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
income,n. 收入，收益；所得
editor,n. 编者，编辑；社论撰写人；编辑装置
casino,n. 俱乐部，赌场；娱乐场
critic,n. 批评家，评论家；爱挑剔的人
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
passage,n. 一段（文章）；走廊；通路
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
species,"n.  物种；种类
adj. 物种上的"
reality,n. 现实；实际；真实
variety,n. 多样；种类；杂耍；变化，多样化
shipper,n. 托运人；发货人；货主
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
privacy,n. 隐私；秘密；隐居；隐居处
slavery,n. 奴役；奴隶制度；奴隶身份
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
congress,n. 国会；代表大会；会议；社交
database,n. 数据库，资料库
solution,n. 解决方案；溶液；溶解；解答
instance,"n. 实例；情况；建议
vt. 举...为例"
retailer,n. 零售商；传播的人
provider,n. 供应者；养家者
emphasis,n. 重点；强调；加强语气
strategy,n. 战略，策略
modelling,"n. 模化；立体感；模特儿职业（等于modeling）
v. 模仿（model的ing形式）；做模型"
discovery,n. 发现，发觉；被发现的事物
publisher,n. 出版者，出版商；发行人
substance,n. 物质；实质；资产；主旨
professor,n. 教授；教师；公开表示信仰的人
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
historian,n. 历史学家
colleague,n. 同事，同僚
economist,n. 经济学者；节俭的人
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
physician,n.  医师；内科医师
statistic,"n. 统计数值
adj. 统计的，统计学的"
reduction,n. 减少；下降；缩小；还原反应
difference,n. 差异；不同；争执
journalist,n. 新闻工作者；报人；记日志者
importance,n. 价值；重要；重大；傲慢
protection,n. 保护；防卫；护照
phenomenon,n. 现象；奇迹；杰出的人才
profession,n. 职业，专业；声明，宣布，表白
advertiser,n. 广告客户；刊登广告的人
popularity,n. 普及，流行；名气；受大众欢迎
creativity,n. 创造力；创造性
journalism,n. 新闻业，新闻工作；报章杂志
reputation,n. 名声，名誉；声望
politician,n. 政治家，政客
consequence,n. 结果；重要性；推论
opportunity,n. 时机，机会
possibility,n. 可能性；可能发生的事物
achievement,n. 成就；完成；达到；成绩
immigration,n. 外来移民；移居
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
relationship,n. 关系；关联
comprehension,n. 理解；包含
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
infrastructure,n. 基础设施；公共建设；下部构造
responsibility,n. 责任，职责；义务
advertisement,n. 广告，宣传
ad,n. 公元；广告（ad）
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
exist,vi. 存在；生存；生活；继续存在
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
solve,"vt. 解决；解答；溶解
vi. 作解答"
alter,"vt. 改变，更改
vi. 改变；修改"
ensure,vt. 保证，确保；使安全
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
assess,vt. 评定；估价；对…征税
obtain,"vi. 获得；流行
vt. 获得"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
enhance,vt. 提高；加强；增加
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
postal,"n. 明信片
adj. 邮政的；邮局的"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
genetic,adj. 遗传的；基因的；起源的
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
crucial,adj. 重要的；决定性的；定局的；决断的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
suitable,adj. 适当的；相配的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
emotional,adj. 情绪的；易激动的；感动人的
successful,adj. 成功的；一帆风顺的
historical,adj. 历史的；史学的；基于史实的
traditional,adj. 传统的；惯例的
educational,adj. 教育的；有教育意义的
technological,adj. 技术的；工艺的
environmental,adj. 环境的，周围的；有关环境的
largely,adv. 主要地；大部分；大量地
recently,adv. 最近；新近
actually,adv. 实际上；事实上
moreover,adv. 而且；此外
entirely,adv. 完全地，彻底地
therefore,adv. 因此；所以
frequently,adv. 频繁地，经常地；时常，屡次
eventually,adv. 最后，终于
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
debt,n. 债务；借款；罪过
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
union,n. 联盟，协会；工会；联合
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
status,n. 地位；状态；情形；重要身份
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
energy,n.  能量；精力；活力；精神
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
threat,n. 威胁，恐吓；凶兆
agency,n. 代理，中介；代理处，经销处
belief,n. 相信，信赖；信仰；教义
moment,n. 片刻，瞬间，时刻；重要，契机
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
planet,n. 行星
poetry,n. 诗；诗意，诗情；诗歌艺术
wealth,n. 财富；大量；富有
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
memory,n. 记忆，记忆力；内存， 存储器；回忆
option,n.  选项；选择权；买卖的特权
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
climate,n. 气候；风气；思潮；风土
concept,n. 观念，概念
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
revenue,n. 税收，国家的收入；收益
network,n. 网络；广播网；网状物
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
scholar,n. 学者；奖学金获得者
pursuit,n. 追赶，追求；职业，工作
revival,n. 复兴；复活；苏醒；恢复精神；再生效
humanity,n. 人类；人道；仁慈；人文学科
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
analysis,n. 分析；分解；验定
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
response,n. 响应；反应；回答
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
majority,n. 多数；成年
movement,n. 运动；活动；运转；乐章
capacity,n. 能力；容量；资格，地位；生产力
presence,n. 存在；出席；参加；风度；仪态
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
relation,n. 关系；叙述；故事；亲属关系
resource,n. 资源，财力；办法；智谋
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
creation,n. 创造，创作；创作物，产物
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
audience,n. 观众；听众；读者；接见；正式会见；拜会
property,n. 性质，性能；财产；所有权
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
criticism,n. 批评；考证；苛求
authority,n. 权威；权力；当局
evolution,n. 演变；进化论；进展
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
tradition,n. 惯例，传统；传说
insurance,n. 保险；保险费；保险契约；赔偿金
statement,n. 声明；陈述，叙述；报表，清单
performer,n. 演出者；执行者；演奏者
procedure,n. 程序，手续；步骤
treatment,n. 治疗，疗法；处理；对待
celebrity,n. 名人；名声
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
production,n. 成果；产品；生产；作品
department,n. 部；部门；系；科；局
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
innovation,n. 创新，革新；新方法
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
connection,n. 连接；关系；人脉；连接件
literature,n. 文学；文献；文艺；著作
collection,n. 采集，聚集； 征收；收藏品；募捐
convention,n. 大会； 惯例； 约定； 协定；习俗
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
publication,n. 出版；出版物；发表
performance,n. 性能；绩效；表演；执行；表现
association,n. 协会，联盟，社团；联合；联想
translation,n. 翻译；译文；转化；调任
requirement,n. 要求；必要条件；必需品
consumption,n. 消费；消耗；肺痨
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
application,n. 应用；申请；应用程序；敷用
interaction,"n. 相互作用； 交互作用
n. 互动"
explanation,n. 说明，解释；辩解
legislation,n. 立法；法律
conservation,n. 保存，保持；保护
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
communication,n. 通讯， 通信；交流；信函
administration,n. 管理；行政；实施；行政机构
organisation,n. 组织；团体（等于organization）
organization,n. 组织；机构；体制；团体
earn,vt. 赚，赚得；获得，挣得；使得到；博得
rely,vi. 依靠；信赖
cite,vt. 引用；传讯；想起；表彰
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
imply,vt. 意味；暗示；隐含
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
arise,vi. 出现；上升；起立
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
define,vt. 定义；使明确；规定
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
emerge,vi. 浮现；摆脱；暴露
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
ignore,vt. 驳回诉讼；忽视；不理睬
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
expose,vt. 揭露，揭发；使曝光；显示
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
insist,"vi. 坚持，强调
vt. 坚持，强调"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
convey,vt. 传达；运输；让与
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
confuse,vt. 使混乱；使困惑
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
maintain,vt. 维持；继续；维修；主张；供养
discover,"vi. 发现
vt. 发现；发觉"
indicate,vt. 表明；指出；预示；象征
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
convince,vt. 说服；使确信，使信服
generate,vt. 使形成；发生；生殖；产生物理反应
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
encourage,vt. 鼓励，怂恿；激励；支持
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
introduce,vt. 介绍；引进；提出；采用
interpret,"vi. 解释；翻译
vt. 说明；口译"
establish,"vi. 植物定植
vt. 建立；创办；安置"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
emphasize,vt. 强调，着重
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
eliminate,vt. 消除；排除
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
obvious,adj. 明显的；显著的；平淡无奇的
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
creative,adj. 创造性的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
literary,adj. 文学的；书面的；精通文学的
available,adj. 可获得的；可购得的；可找到的；有空的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
conscious,adj. 意识到的；故意的；神志清醒的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
