pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
aspect,n. 方面；方向；形势；外貌
manner,n. 方式；习惯；种类；规矩；风俗
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
reality,n. 现实；实际；真实
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
cottage,n. 小屋；村舍；（农舍式的）小别墅
solution,n. 解决方案；溶液；溶解；解答
disaster,n. 灾难，灾祸；不幸
cigarette,n. 香烟；纸烟
satellite,n. 卫星；人造卫星；随从；卫星国家
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
department,n. 部；部门；系；科；局
atmosphere,n. 气氛；大气；空气
application,n. 应用；申请；应用程序；敷用
era,n. 时代；年代；纪元
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
threat,n. 威胁，恐吓；凶兆
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
absence,n. 没有；缺乏；缺席；不注意
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
expansion,n. 膨胀；阐述；扩张物
definition,n. 定义； 清晰度；解说
percentage,n. 百分比；百分率，百分数
extinction,n. 灭绝；消失；消灭；废止
contribution,n. 贡献；捐献；投稿
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
cite,vt. 引用；传讯；想起；表彰
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
emerge,vi. 浮现；摆脱；暴露
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
obtain,"vi. 获得；流行
vt. 获得"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
enable,vt. 使能够，使成为可能；授予权利或方法
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
remind,vt. 提醒；使想起
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
deserve,"vi. 应受，应得
vt. 应受，应得"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
superb,adj. 极好的；华丽的；宏伟的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
intense,adj. 强烈的；紧张的；非常的；热情的
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
hence,adv. 因此；今后
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
forever,adv. 永远；不断地；常常
somehow,adv. 以某种方法；莫名其妙地
therefore,adv. 因此；所以
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
Web,
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
elite,n. 精英；精华；中坚分子
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
penny,n. （美）分；便士
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
jeans,n. 牛仔裤；工装裤
energy,n.  能量；精力；活力；精神
notion,n. 概念；见解；打算
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
vessel,n. 船，舰； 脉管，血管；容器，器皿
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
coupon,n. 息票；赠券；联票； 配给券
manual,"adj. 手工的；体力的
n. 手册，指南"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
illusion,n. 幻觉，错觉；错误的观念或信仰
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
well-being,n. 幸福；康乐
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
businessman,n. 商人
underestimate,"n. 低估
vt. 低估；看轻"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
cope,"n. 长袍
vi. 处理；对付；竞争"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
exert,vt. 运用，发挥；施以影响
define,vt. 定义；使明确；规定
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
retain,vt. 保持；雇；记住
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
specify,vt. 指定；详细说明；列举；把…列入说明书
imitate,vt. 模仿，仿效；仿造，仿制
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
constitute,vt. 组成，构成；建立；任命
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
actual,adj. 真实的，实际的；现行的，目前的
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
forth,adv. 向前，向外；自…以后
onward,"adj. 向前的；前进的
adv. 向前；在前面"
likewise,adv. 同样地；也
furthermore,adv. 此外；而且
whereas,conj. 然而；鉴于；反之
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
casino,n. 俱乐部，赌场；娱乐场
census,"n. 人口普查，人口调查
vt. 实施统计调查"
heroin,n.  海洛因，吗啡
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
subsidy,n. 补贴；津贴；补助金
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
predator,n.  捕食者； 食肉动物；掠夺者
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
sue,"vt. 控告；请求
vi. 控告；提出请求"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
depict,vt. 描述；描画
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
dedicate,vt. 致力；献身；题献
akin,adj. 类似的；同类的；同族的
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
eminent,adj. 杰出的；有名的；明显的
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
anonymous,adj. 匿名的，无名的；无个性特征的
conducive,adj. 有益的；有助于…的
perpetual,adj. 永久的；不断的；四季开花的；无期限的
unprecedented,adj. 空前的；无前例的
whereby,adv. 凭借；通过…；借以；与…一致
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
edition,"n. 版本
版次
集"
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
judgment,n. 判断；裁判；判决书；辨别力
reporter,n. 记者
survival,n. 幸存，残存；幸存者，残存物
literacy,n. 读写能力；精通文学
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
existence,n. 存在，实在；生存，生活；存在物，实在物
admission,n. 承认；入场费；进入许可；坦白；录用
residence,n. 住宅，住处；居住
messenger,n. 报信者，送信者；先驱
management,n. 管理；管理人员；管理部门；操纵；经营手段
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
attendance,n. 出席；到场；出席人数；考勤
obligation,n. 义务；职责；债务
reflection,n. 反射；沉思；映象
maintenance,n. 维护，维修；保持；生活费用
independence,n. 独立性，自立性；自主
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
poisonous,adj. 有毒的；恶毒的；讨厌的
democratic,adj. 民主的；民主政治的；大众的
profitable,adj. 有利可图的；赚钱的；有益的
statistical,adj. 统计的；统计学的
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
largely,adv. 主要地；大部分；大量地
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
possibly,adv. 可能地；也许；大概
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
agenda,n. 议程；日常工作事项；日程表
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
deliciously,adv. 美味地，芬香地
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
bun,"n. 小圆面包
屁股
圆髻"
clove,"n.  丁香
v. 劈开（cleave的过去式）"
sonar,n. 声纳；声波定位仪（等于asdic）
bummer,n. 懒汉；游手好闲的人；吸食迷幻药的反效果
sandal,n. 凉鞋；檀香；檀香木；便鞋
biomass,n. （单位面积或体积内的） 生物量
lodging,n. 寄宿；寄宿处；出租的房间、住房；倒伏
arthritis,n.  关节炎
pornography,n. 色情文学；色情描写
