basic,"n. 基础；要素
adj. 基本的；基础的"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
usual,adj. 通常的，惯例的；平常的
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
useful,adj. 有用的，有益的；有帮助的
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
careful,adj. 仔细的，小心的
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
dangerous,"adj. 危险的
危险地"
twice,adv. 两次；两倍
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
anyway,adv. 无论如何，不管怎样；总之
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
properly,adv. 适当地；正确地；恰当地
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
ourselves,pron. 我们自己；我们亲自
everybody,pron. 每个人；人人
nor,"conj. 也不；也不是
adv. 也不；也没有"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
action,n. 行动；活动；功能；战斗；情节
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
mood,n. 情绪，语气；心境；气氛
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
editor,n. 编者，编辑；社论撰写人；编辑装置
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
memory,n. 记忆，记忆力；内存， 存储器；回忆
behalf,n. 代表；利益
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
emotion,n. 情感；情绪
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
council,n. 委员会；会议；理事会；地方议会；顾问班子
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
premier,"n. 总理，首相
adj. 第一的；最初的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
ancestor,n. 始祖，祖先；被继承人
creature,n. 动物，生物；人；创造物
identity,n. 身份；同一性，一致；特性；恒等式
authority,n. 权威；权力；当局
tradition,n. 惯例，传统；传说
candidate,n. 候选人，候补者；应试者
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
committee,n. 委员会
behaviour,n. 行为；习性；运行状况（=behavior）
reputation,n. 名声，名誉；声望
politician,n. 政治家，政客
assumption,n. 假定；设想；担任；采取
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
personality,n. 个性；品格；名人
conservation,n. 保存，保持；保护
administration,n. 管理；行政；实施；行政机构
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
event,n. 事件，大事；项目；结果
topic,n. 主题（等于theme）；题目；一般规则；总论
poetry,n. 诗；诗意，诗情；诗歌艺术
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
clinic,n. 临床；诊所
mixture,n. 混合；混合物；混合剂
resource,n. 资源，财力；办法；智谋
province,n. 省；领域；职权
insurance,n. 保险；保险费；保险契约；赔偿金
statistic,"n. 统计数值
adj. 统计的，统计学的"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
phenomenon,n. 现象；奇迹；杰出的人才
procedure,n. 程序，手续；步骤
psychology,n. 心理学；心理状态
atmosphere,n. 气氛；大气；空气
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
description,n. 描述，描写；类型；说明书
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
series,n. 系列，连续； 串联；级数；丛书
moment,n. 片刻，瞬间，时刻；重要，契机
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
species,"n.  物种；种类
adj. 物种上的"
variety,n. 多样；种类；杂耍；变化，多样化
outcome,n. 结果，结局；成果
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
majority,n. 多数；成年
movement,n. 运动；活动；运转；乐章
comparison,n. 比较；对照；比喻；比较关系
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
exist,vi. 存在；生存；生活；继续存在
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
imply,vt. 意味；暗示；隐含
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
occur,vi. 发生；出现；存在
arise,vi. 出现；上升；起立
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
insist,"vi. 坚持，强调
vt. 坚持，强调"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
detect,vt. 察觉；发现；探测
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
occupy,vt. 占据，占领；居住；使忙碌
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
compete,vi. 竞争；比赛；对抗
destroy,vt. 破坏；消灭；毁坏
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
depress,vt. 压抑；使沮丧；使萧条
indicate,vt. 表明；指出；预示；象征
generate,vt. 使形成；发生；生殖；产生物理反应
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
tolerate,vt. 忍受；默许；宽恕
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
cooperate,vi. 合作，配合；协力
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
acknowledge,vt. 承认；答谢；报偿；告知已收到
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
vivid,adj. 生动的；鲜明的；鲜艳的
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
unusual,adj. 不寻常的；与众不同的；不平常的
logical,adj. 合逻辑的，合理的；逻辑学的
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
suitable,adj. 适当的；相配的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
flexible,adj. 灵活的；柔韧的；易弯曲的
available,adj. 可获得的；可购得的；可找到的；有空的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
responsible,adj. 负责的，可靠的；有责任的
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
entirely,adv. 完全地，彻底地
therefore,adv. 因此；所以
elsewhere,adv. 在别处；到别处
extremely,adv. 非常，极其；极端地
eventually,adv. 最后，终于
definitely,adv. 清楚地，当然；明确地，肯定地
fortunately,adv. 幸运地
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
threat,n. 威胁，恐吓；凶兆
expose,vt. 揭露，揭发；使曝光；显示
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
gene,n.  基因，遗传因子
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
slogan,n. 标语；呐喊声
revenue,n. 税收，国家的收入；收益
academy,n. 学院；研究院；学会；专科院校
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
apology,n. 道歉；谢罪；辩护；勉强的替代物
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
Congress,
contempt,n. 轻视，蔑视；耻辱
cucumber,n. 黄瓜；胡瓜
optimism,n. 乐观；乐观主义
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
colleague,n. 同事，同僚
economics,n. 经济学；国家的经济状况
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
controversy,n. 争论；论战；辩论
counterpart,n. 副本；配对物；极相似的人或物
rid,vt. 使摆脱；使去掉
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
convey,vt. 传达；运输；让与
modify,"vt. 修改，修饰；更改
vi. 修改"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
resent,vt. 怨恨；愤恨；厌恶
induce,vt. 诱导；引起；引诱；感应
educate,"vt. 教育；培养；训练
vi. 教育；训练"
analyze,vt. 对…进行分析，分解（等于analyse）
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
confuse,vt. 使混乱；使困惑
exclude,vt. 排除；排斥；拒绝接纳；逐出
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
regulate,vt. 调节，规定；控制；校准；有系统的管理
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
formulate,vt. 规划；用公式表示；明确地表达
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
oral,"n. 口试
adj. 口头的，口述的"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
conscious,adj. 意识到的；故意的；神志清醒的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
reluctant,adj. 不情愿的；勉强的；顽抗的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
authentic,adj. 真正的，真实的；可信的
conservative,
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
theirs,pron. 他们的；她们的；它们的
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
chunk,n. 大块；矮胖的人或物
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
ideology,n. 意识形态；思想意识；观念学
speciality,n. 专业，专长；特性
temperament,n. 气质，性情，性格；急躁
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
recur,vi. 复发；重现；采用；再来；循环；递归
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
repel,vt. 击退；抵制；使厌恶；使不愉快
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
aspire,vi. 渴望；立志；追求
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
denote,vt. 表示，指示
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
summon,vt. 召唤；召集；鼓起；振作
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
aggravate,vt. 加重；使恶化；激怒
constrain,vt. 驱使；强迫；束缚
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
nonetheless,adv. 尽管如此，但是
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
unity,n. 团结；一致；联合；个体
critic,n. 批评家，评论家；爱挑剔的人
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
daytime,n. 日间，白天
analysis,n. 分析；分解；验定
presence,n. 存在；出席；参加；风度；仪态
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
complaint,n. 抱怨；诉苦；疾病；委屈
production,n. 成果；产品；生产；作品
appearance,n. 外貌，外观；出现，露面
likelihood,n. 可能性，可能
explanation,n. 说明，解释；辩解
indignation,n. 愤慨；愤怒；义愤
bureaucracy,n. 官僚主义；官僚机构；官僚政治
organization,n. 组织；机构；体制；团体
significance,n. 意义；重要性；意思
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
prudent,adj. 谨慎的；精明的；节俭的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
artistic,adj. 艺术的；风雅的；有美感的
extensive,adj. 广泛的；大量的；广阔的
democratic,adj. 民主的；民主政治的；大众的
additional,adj. 附加的，额外的
suspicious,adj. 可疑的；怀疑的；多疑的
preferable,adj. 更好的，更可取的；更合意的
applicable,adj. 可适用的；可应用的；合适的
cooperative,"n. 合作社
adj. 合作的；合作社的"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
highly,adv. 高度地；非常；非常赞许地
largely,adv. 主要地；大部分；大量地
readily,adv. 容易地；乐意地；无困难地
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
